ten_cong_ty,ma_so_thue,slug
CÔNG TY CỔ PHẦN TẬP ĐOÀN PHÚC LÂM BẢO ĐƯỜNG, 0110944642,/0110944642-cong-ty-co-phan-tap-doan-phuc-lam-bao-duong
CÔNG TY TNHH THƯƠNG MẠI VÀ XÂY LẮP MINH KHÁNH, 0110942557,/0110942557-cong-ty-tnhh-thuong-mai-va-xay-lap-minh-khanh
CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ XÂY LẮP 3A VIỆT NAM, 0110941761,/0110941761-cong-ty-tnhh-thuong-mai-va-dau-tu-xay-lap-3a-viet-nam
CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH PH PLYWOOD, 0110939674,/0110939674-cong-ty-tnhh-san-xuat-va-kinh-doanh-ph-plywood
CÔNG TY TNHH XÂY DỰNG DỊCH VỤ VẬN TẢI HOÀNG GIANG, 0110939561,/0110939561-cong-ty-tnhh-xay-dung-dich-vu-van-tai-hoang-giang
CÔNG TY TNHH LUẬT SÔNG ĐÀ, 0110937155,/0110937155-cong-ty-tnhh-luat-song-da
CÔNG TY TNHH XÂY DỰNG VÀ SAN LẤP MẶT BẰNG MINH CHÂU PHÁT, 0110936144,/0110936144-cong-ty-tnhh-xay-dung-va-san-lap-mat-bang-minh-chau-phat
CÔNG TY CỔ PHẦN ĐI LÀ NHỚ TRAVEL, 0110936218,/0110936218-cong-ty-co-phan-di-la-nho-travel
CÔNG TY TNHH GIÁO DỤC ANH NGỮ BA VÌ, 0110932647,/0110932647-cong-ty-tnhh-giao-duc-anh-ngu-ba-vi
CÔNG TY TNHH PHÁT TRIỂN ĐIỆN LẠNH THÀNH PHÁT, 0110932679,/0110932679-cong-ty-tnhh-phat-trien-dien-lanh-thanh-phat
CÔNG TY TNHH ONEX MUSIC GROUP, 0110930833,/0110930833-cong-ty-tnhh-onex-music-group
CÔNG TY TNHH DƯƠNG THANH GROUP, 0110931058,/0110931058-cong-ty-tnhh-duong-thanh-group
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI DỊCH VỤ PHÚ SƠN 19, 0110929690,/0110929690-cong-ty-tnhh-san-xuat-va-thuong-mai-dich-vu-phu-son-19
CHI NHÁNH HÀ NỘI - CÔNG TY TNHH MỘT THÀNH VIÊN ĐẠI HỒNG, 3701045981-001,/3701045981-001-chi-nhanh-ha-noi-cong-ty-tnhh-mot-thanh-vien-dai-hong
CÔNG TY TNHH TM&DV KHOA THUẬN PHÁT, 0110928697,/0110928697-cong-ty-tnhh-tm-dv-khoa-thuan-phat
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG THƯƠNG MẠI DỊCH VỤ ĐẠI TRƯỜNG THỊNH, 0110927012,/0110927012-cong-ty-tnhh-dau-tu-xay-dung-thuong-mai-dich-vu-dai-truong-thinh
CÔNG TY CỔ PHẦN VẬT LIỆU XÂY DỰNG PHÚ CHÂU, 0110922769,/0110922769-cong-ty-co-phan-vat-lieu-xay-dung-phu-chau
CÔNG TY CỔ PHẦN PARIS BA VÌ, 0110921500,/0110921500-cong-ty-co-phan-paris-ba-vi
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ XÂY DỰNG LINH TRANG BA VÌ, 0110919188,/0110919188-cong-ty-tnhh-thuong-mai-va-dich-vu-xay-dung-linh-trang-ba-vi
CÔNG TY CỔ PHẦN THIẾT KẾ VÀ XÂY DỰNG VIỆT XANH, 0110917261,/0110917261-cong-ty-co-phan-thiet-ke-va-xay-dung-viet-xanh
CÔNG TY TNHH TÂM MỸ AN LẠC SPA & HEALING, 0110917102,/0110917102-cong-ty-tnhh-tam-my-an-lac-spa-healing
CÔNG TY TNHH CUNG ỨNG VẬT TƯ ĐỨC HẢI - CHI NHÁNH BA VÌ, 0801430653-001,/0801430653-001-cong-ty-tnhh-cung-ung-vat-tu-duc-hai-chi-nhanh-ba-vi
CÔNG TY TNHH THƯƠNG MẠI VÀ CÔNG NGHIỆP HNG, 0110911485,/0110911485-cong-ty-tnhh-thuong-mai-va-cong-nghiep-hng
CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ XÂY DỰNG ĐỊNH HƯNG, 0110911196,/0110911196-cong-ty-co-phan-tu-van-dau-tu-xay-dung-dinh-hung
CÔNG TY TNHH BẤT ĐỘNG SẢN ĐẤT VÀNG GROUP, 0110906799,/0110906799-cong-ty-tnhh-bat-dong-san-dat-vang-group
CÔNG TY TNHH LỮ HÀNH NỘI ĐỊA VÀ GIÁO DỤC QUỐC TẾ EDU TRAVEL, 0110905467,/0110905467-cong-ty-tnhh-lu-hanh-noi-dia-va-giao-duc-quoc-te-edu-travel
CÔNG TY TNHH XÂY DỰNG TỔNG HỢP THÁI LINH CHI, 0110905393,/0110905393-cong-ty-tnhh-xay-dung-tong-hop-thai-linh-chi
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ QUỐC TẾ KIM BẢO, 0110902515,/0110902515-cong-ty-tnhh-thuong-mai-va-dich-vu-quoc-te-kim-bao
CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT & DV MẠNH CƯỜNG, 0110901769,/0110901769-cong-ty-tnhh-thuong-mai-san-xuat-dv-manh-cuong
CÔNG TY CỔ PHẦN MAY THANH TRÌ TTG, 0110901896,/0110901896-cong-ty-co-phan-may-thanh-tri-ttg
CÔNG TY CỔ PHẦN LDK PRECAST, 0110899943,/0110899943-cong-ty-co-phan-ldk-precast
CÔNG TY TNHH THƯƠNG LỢI 89 VN, 0110899710,/0110899710-cong-ty-tnhh-thuong-loi-89-vn
CÔNG TY TNHH ĐỨC THỊNH BV, 0110898756,/0110898756-cong-ty-tnhh-duc-thinh-bv
CÔNG TY TNHH XÂY DỰNG VÀ KHAI THÁC TÀI NGUYÊN HÀ QUYÊN, 0110897897,/0110897897-cong-ty-tnhh-xay-dung-va-khai-thac-tai-nguyen-ha-quyen
CÔNG TY TNHH KIẾN TRÚC & NỘI THẤT SAKI, 0110896967,/0110896967-cong-ty-tnhh-kien-truc-noi-that-saki
CÔNG TY TNHH XÂY DỰNG VÀ PHÁT TRIỂN HẠ TẦNG BLUE ARMY, 0110895233,/0110895233-cong-ty-tnhh-xay-dung-va-phat-trien-ha-tang-blue-army
CÔNG TY TNHH THƯƠNG MẠI & DỊCH VỤ BA VÌ TRAVEL, 0110894007,/0110894007-cong-ty-tnhh-thuong-mai-dich-vu-ba-vi-travel
CÔNG TY CỔ PHẦN NAM DƯỢC LIDA, 0110893892,/0110893892-cong-ty-co-phan-nam-duoc-lida
CÔNG TY TNHH XD & TM MINH HƯNG, 0110891711,/0110891711-cong-ty-tnhh-xd-tm-minh-hung
CÔNG TY TNHH ZLIFE VN, 0110890718,/0110890718-cong-ty-tnhh-zlife-vn
CÔNG TY CỔ PHẦN CHẾ BIẾN SỮA BA VÌ, 0110889254,/0110889254-cong-ty-co-phan-che-bien-sua-ba-vi
CÔNG TY TNHH VIỆT TIỆP XANH EURO, 0110889173,/0110889173-cong-ty-tnhh-viet-tiep-xanh-euro
CÔNG TY TNHH NGUYÊN VẬT LIỆU - VÔI PHÚC ĐỨC, 0110886704,/0110886704-cong-ty-tnhh-nguyen-vat-lieu-voi-phuc-duc
CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG VÀ PHÁT TRIỂN TOÀN THẮNG, 0110878693,/0110878693-cong-ty-co-phan-tu-van-xay-dung-va-phat-trien-toan-thang
CÔNG TY TNHH GHTIETKIEM VN, 0110878083,/0110878083-cong-ty-tnhh-ghtietkiem-vn
CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT THẢO VŨ, 0110876304,/0110876304-cong-ty-tnhh-thuong-mai-san-xuat-thao-vu
CÔNG TY TNHH ĐẦU TƯ CUNG ỨNG VLXD MẠNH DŨNG - CHI NHÁNH BA VÌ, 0700886753-001,/0700886753-001-cong-ty-tnhh-dau-tu-cung-ung-vlxd-manh-dung-chi-nhanh-ba-vi
CÔNG TY TNHH PHẠM ĐÔNG LUXURY, 0110875396,/0110875396-cong-ty-tnhh-pham-dong-luxury
CÔNG TY TNHH THƯƠNG MẠI XÂY DỰNG THƯƠNG LÊ, 0110874000,/0110874000-cong-ty-tnhh-thuong-mai-xay-dung-thuong-le
CÔNG TY CỔ PHẦN HAN WAY, 0110871793,/0110871793-cong-ty-co-phan-han-way
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ VẬN TẢI MẠNH DƯƠNG, 0110871722,/0110871722-cong-ty-tnhh-thuong-mai-dich-vu-va-van-tai-manh-duong
CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI VÀ ĐẦU TƯ XÂY DỰNG TÂY ĐÔ, 0110871747,/0110871747-cong-ty-tnhh-phat-trien-thuong-mai-va-dau-tu-xay-dung-tay-do
CÔNG TY TNHH MTV ĐỊNH GIÁ TÀI NGUYÊN TÂY HÀ NỘI KAA, 0110868920,/0110868920-cong-ty-tnhh-mtv-dinh-gia-tai-nguyen-tay-ha-noi-kaa
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CHẾ BIẾN THỰC PHẨM AN THỊNH FOOD, 0110859612,/0110859612-cong-ty-co-phan-thuong-mai-va-che-bien-thuc-pham-an-thinh-food
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DU LỊCH GREEN BA VÌ, 0110865077,/0110865077-cong-ty-co-phan-thuong-mai-va-du-lich-green-ba-vi
CÔNG TY TNHH PHÁT TRIỂN DU LỊCH BỀN VỮNG NGUYỄN ANH, 0110865359,/0110865359-cong-ty-tnhh-phat-trien-du-lich-ben-vung-nguyen-anh
CÔNG TY TNHH DƯỢC PHẨM DR.SUNG VIỆT NAM, 0110860671,/0110860671-cong-ty-tnhh-duoc-pham-dr-sung-viet-nam
CÔNG TY TNHH THƯƠNG MẠI VÀ VẬT LIỆU XÂY DỰNG HƯNG THỊNH PHÁT, 0110857090,/0110857090-cong-ty-tnhh-thuong-mai-va-vat-lieu-xay-dung-hung-thinh-phat
CÔNG TY TNHH DỊCH VỤ MAY MINH QUANG, 0110855865,/0110855865-cong-ty-tnhh-dich-vu-may-minh-quang
CÔNG TY TNHH KỸ THUẬT GIA HƯNG, 0110850930,/0110850930-cong-ty-tnhh-ky-thuat-gia-hung
CÔNG TY TNHH SẢN XUẤT VÀ GIA CÔNG ANATEX, 0110850401,/0110850401-cong-ty-tnhh-san-xuat-va-gia-cong-anatex
CÔNG TY TNHH THƯƠNG MẠI VẬT LIỆU CÔNG TRÌNH XANH EURO, 0110854004,/0110854004-cong-ty-tnhh-thuong-mai-vat-lieu-cong-trinh-xanh-euro
CÔNG TY TNHH DVTM NEW LIGHT, 0110855738,/0110855738-cong-ty-tnhh-dvtm-new-light
CÔNG TY TNHH AN PHÁT TRƯỜNG THỊNH BV, 0110853096,/0110853096-cong-ty-tnhh-an-phat-truong-thinh-bv
CÔNG TY TNHH TAEWOO CVN, 0110850105,/0110850105-cong-ty-tnhh-taewoo-cvn
CÔNG TY CỔ PHẦN THƯƠNG MẠI AN KHANG GROUP, 0110848353,/0110848353-cong-ty-co-phan-thuong-mai-an-khang-group
CÔNG TY TNHH HƯNG THỊNH HƯƠNG, 0110839380,/0110839380-cong-ty-tnhh-hung-thinh-huong
CÔNG TY TNHH NGHIÊN CỨU VÀ PHÁT TRIỂN Y HỌC CỔ TRUYỀN DÂN TỘC DAO BA VÌ DƯƠNG KIỀU CHANG, 0110836686,/0110836686-cong-ty-tnhh-nghien-cuu-va-phat-trien-y-hoc-co-truyen-dan-toc-dao-ba-vi-duong-kieu-chang
CÔNG TY CỔ PHẦN RABEL SYSTEMS, 0110836397,/0110836397-cong-ty-co-phan-rabel-systems
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ HƯNG LAN, 0110834294,/0110834294-cong-ty-tnhh-dau-tu-thuong-mai-va-dich-vu-hung-lan
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ ĐẠT LỤC, 0110833854,/0110833854-cong-ty-tnhh-thuong-mai-va-dich-vu-dat-luc
CÔNG TY TNHH TMDV VÀ XÂY DỰNG NGUYÊN KHÍ, 0110832515,/0110832515-cong-ty-tnhh-tmdv-va-xay-dung-nguyen-khi
CÔNG TY CỔ PHẦN NAM DƯỢC HỢP SƠN, 0110832018,/0110832018-cong-ty-co-phan-nam-duoc-hop-son
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CÂY XANH QUANG TRUNG, 0110831328,/0110831328-cong-ty-tnhh-thuong-mai-dich-vu-cay-xanh-quang-trung
CÔNG TY TNHH TƯ VẤN XÂY DỰNG VÀ THƯƠNG MẠI HÀ MINH, 0110829350,/0110829350-cong-ty-tnhh-tu-van-xay-dung-va-thuong-mai-ha-minh
CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI THÀNH NGÂN, 0110825155,/0110825155-cong-ty-tnhh-dau-tu-va-thuong-mai-thanh-ngan
CÔNG TY TNHH ZENITH ECHO, 0110827667,/0110827667-cong-ty-tnhh-zenith-echo
CÔNG TY TNHH CUNG ỨNG THỰC PHẨM AN TOÀN LIỄU LẬP, 0110826945,/0110826945-cong-ty-tnhh-cung-ung-thuc-pham-an-toan-lieu-lap
CÔNG TY TNHH 1TV PHƯƠNG NAM BA VÌ, 0110825701,/0110825701-cong-ty-tnhh-1tv-phuong-nam-ba-vi
CÔNG TY TNHH DỊCH VỤ VẬN TẢI THÀNH HƯNG, 0110824930,/0110824930-cong-ty-tnhh-dich-vu-van-tai-thanh-hung
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ THỌ HUYỀN, 0110819507,/0110819507-cong-ty-tnhh-thuong-mai-va-dich-vu-tho-huyen
CÔNG TY TNHH TỔNG KHO SƠN NHẬP KHẨU THỦY GROUP, 0110807188,/0110807188-cong-ty-tnhh-tong-kho-son-nhap-khau-thuy-group
CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI TCCONS VIỆT NAM, 0110817411,/0110817411-cong-ty-tnhh-xay-dung-va-thuong-mai-tccons-viet-nam
